nb_player;saison;overall_rating;potential;finishing;heading_accuracy;short_passing;dribbling;sprint_speed;balance;shot_power;jumping;stamina;strength;positioning;penalties;sliding_tackle
5730;2008/2009;383075.0;424995.5;280113.0;328299.5;343276.0;318881.0;386799.0;353476.0;333439.5;354662.5;382725.0;377625.5;342684.5;337215.0;254887.0
6759;2010/2011;458732.5;504500.5;322669.5;381375.5;412513.5;380316.0;464800.5;446047.0;407594.0;447840.5;456763.5;457404.5;349869.5;347315.0;315523.0
7432;2013/2014;504696.34;536702.25;363381.12;423371.47;457168.0;433943.6;494448.1;474876.03;453609.9;494420.62;486374.78;502778.47;398883.06;395326.62;360495.47
9;2016/2017;619.0;683.0;498.0;578.0;517.0;532.0;678.0;545.0;595.0;591.0;612.0;627.0;498.0;537.0;335.0
4495;2007/2008;306327.0;332875.0;223941.5;260566.0;269076.5;249995.0;302254.0;281933.0;260528.0;282597.0;304529.5;298538.5;271991.0;270040.0;205148.0
6235;2009/2010;422250.0;465298.0;306947.0;356556.5;378871.5;352917.0;426849.0;394401.5;371465.5;396478.5;421126.0;414418.0;382771.5;375244.0;281706.5
7222;2012/2013;491661.06;523646.84;344992.56;405915.53;444102.75;413652.44;481126.72;461138.47;440926.94;481069.72;476976.56;489090.97;380604.62;383399.22;338616.28
7057;2015/2016;490981.2;514094.47;346906.28;402482.2;445165.22;420114.12;472983.66;453536.9;436250.12;475217.12;467385.1;481615.62;382570.94;377380.94;345580.5
11059;2006/2007;697500.0;789873.0;507637.0;589048.0;620321.0;588209.0;730398.0;686347.0;607411.0;684450.0;700004.0;690275.0;587846.0;587321.0;479407.0
6953;2011/2012;473207.0;504998.0;331399.0;390179.5;425250.0;394148.5;463560.5;440717.5;422123.5;463336.5;460202.5;469896.0;360894.5;364627.0;323132.0
7264;2014/2015;493984.16;521097.53;355893.8;414654.2;449271.7;427640.16;487639.2;464580.53;443246.53;485969.94;479194.5;492360.7;391842.53;385319.16;354993.16
